"tract","Name","Household_Income_rP_gP_pall"
42095010200,"Bethlehem, PA",75775
42095017604,"Bethlehem, PA",67428
42095017702,"Bethlehem, PA",64349
42095017703,"Bethlehem, PA",63789
42095018002,"Bethlehem, PA",63126
42095017607,"Bethlehem, PA",60947
42095017606,"Bethlehem, PA",60517
42077006903,"Bethlehem, PA",59141
42095010400,"Bethlehem, PA",58132
42077009200,"Bethlehem, PA",56580
42077009100,"Bethlehem, PA",56182
42095018001,"Hellertown, PA",55578
42077006702,"Allentown, PA",54517
42095010100,"Bethlehem, PA",54476
42077009300,"West Side, Bethlehem, PA",52660
42095017603,"Bethlehem, PA",51790
42095010300,"Bethlehem, PA",51629
42077006701,"Allentown, PA",51495
42095017901,"Hellertown, PA",49849
42095017902,"Hellertown, PA",48565
42077005902,"Allentown, PA",48207
42095010800,"Bethlehem, PA",47740
42077009400,"West Side, Bethlehem, PA",46936
42095010600,"Bethlehem, PA",45833
42077006800,"Fountain Hill, PA",44466
42095011100,"Bethlehem, PA",44228
42077009500,"West Side, Bethlehem, PA",44099
42095010700,"Bethlehem, PA",42994
42077000102,"Allentown, PA",42927
42095017800,"Freemansburg, PA",40911
42095010900,"Bethlehem, PA",38107
42077000101,"Allentown, PA",37811
42077009600,"Dutch Hill, Allentown, PA",35338
42095011300,"Bethlehem, PA",32403
42095011200,"Bethlehem, PA",32195
42095010500,"Bethlehem, PA",30300
42095011000,"Bethlehem, PA",28395
